[0603/150359.545:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aakppdkgemboafgliiilljegffnaokbp/vector-logo.png' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.545:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aakppdkgemboafgliiilljegffnaokbp/vector-logo.png. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.654:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aalmdggecnmihdnlloomafhmdlnjadgm/popover.htm' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.654:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aalmdggecnmihdnlloomafhmdlnjadgm/popover.htm. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.759:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aaogndnbeimijicahonifekmiepidcoi/icons/icon16.png' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.759:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aaogndnbeimijicahonifekmiepidcoi/icons/icon16.png. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.859:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aaoocbpffdjkmdhffdmblfoombokbmgn/icon/16.png' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.859:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aaoocbpffdjkmdhffdmblfoombokbmgn/icon/16.png. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.969:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aapfglkgnhmiaabhiijkjpfmhllaodgp/assets/icon.png' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.969:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aapfglkgnhmiaabhiijkjpfmhllaodgp/assets/icon.png. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
